example1.com,192.168.1.1,AB12C3D4E5F67890GH1I
example2.net,10.0.0.1,JK2LMNOP3Q4R567S8TUV
sample-site.org,172.16.254.1,WXY9Z0A1B2C345D6E7F8
randomdomain.co,203.0.113.10,HIJKLMN9OPQRSTUV7WXY
test-domain.io,192.0.2.25,ZYXWVUTS1RQ2P3O4N5M6
site-example.biz,198.51.100.35,KL7MN0OPQ12RSTUVWXY7
newdomain.edu,198.51.100.100,LMNOPQRS123TU4VWXYZ5
website-test.tv,203.0.113.15,ABCD1EFG234HIJK567LM
domain-sample.co.uk,172.16.0.12,MN2OPQ3RSTUVWXY67Z8A
fake-domain.info,192.168.10.45,0A1B2C3D4E5F6G7H8IJ9
testsite.xyz,203.0.113.50,KLMNO12PQR3STU4V5WXY
examplename.us,10.10.10.15,1A2B3C4D5E6F7G8H9I0J
bogus-site.eu,172.31.0.55,A1B2C3D4E5F6G7H8IJ9K
website-mock.name,198.51.101.100,LMNO12PQR3STU4VWXY7
dummydomain.co,192.168.0.1,YZ0ABC1D2EFG3HIJK45L
pseudodomain.museum,172.16.10.25,AB1CDEFGH2IJKL3MN4O
fakedomain.asia,203.0.113.55,1A2B3C4D5E6F7G8H9IJ
testdomain.co.nz,198.51.102.75,LMNOPQR1ST2UVWXY345
mocked-up-site.la,192.0.2.150,XYZABCDE1F2GHI345JK
simulateddomain.tv,203.0.113.120,PQR1ST2UVWX34Y56Z7A
dummyexample.us,10.0.1.1,LMNOP12345RSTU6VWXYZ
fauxdomain.net,172.16.50.100,AB2C3D4E5FGH6789IJ0K
mock-domain.co,203.0.113.150,XYZ1A2BC3DE4FGH5IJK
samplefake.edu,198.51.104.50,PQR1STU2VWXY345678Z
fakename.biz,10.1.1.1,JKL012MNOPQR345STUV
testmockdomain.tv,172.16.100.25,LMNOP12Q3RSTUVWXY45
bogus-example.com,192.168.30.35,ABCDE123FGHI456JKL7
fakedomain.org,198.51.105.75,LMNOPQR1ST2UV3456WXY
domainname123.io,10.0.20.125,ABCDEFGH123456IJK90L
sitefakenow.co.uk,172.31.25.10,1A2B3C4D5EF6G7HIJKL
mockedname.tv,192.168.40.55,Z1A2B3C4DEF5GHI678JK
dummytest.org,198.51.106.200,AB1CDEF2GHIJKLMN3456
mockupdomain.com,203.0.113.125,XYZ12345678A9BCDEFG
fakename.xyz,10.0.5.200,LMNOP12345RSTU6VWXYZ
samplefakesite.info,172.16.75.12,A1B2C3D4E5F6G7H8I9J
testdomain.net,192.168.50.25,LMNOPQ1RST2UVW345XYZ
examplemockup.com,198.51.107.30,JK123456LMNOPQR7890
mocked-testdomain.co,203.0.113.160,1234ABCDE5678FGHIJKLM
domainxyz.com,10.1.50.75,PQ3456789RSTUVWXABCD
testsitefakedomain.tv,172.16.100.150,LMNOPQ12RSTUV345WXYZ
fake-name.edu,192.168.60.100,AB1CD2EFG3HI4JKL5678
simulated-example.org,198.51.108.50,JKLMN123OPQR456STUV
site1-fake.xyz,10.1.100.10,Z12A34BCDEF56GH789IJ
mockdomain.us,172.16.200.250,1A2B3C4D5E6F7G8HI9JK
fauxwebsite.co,203.0.113.200,LMNOPQRSTU123456VWX9
dummydomain.biz,198.51.109.100,ABC123DEF456GHI789JK
bogusname.io,10.1.150.25,PQ1RST2UVW34567XYZ8A
fakesite.org,172.16.0.150,LMNOP123RSTUV456WXY7
randomdomain.tv,192.168.10.200,AB12CDEF3456789GHIJK
site-example.net,203.0.113.250,JKL567MNO123PQR8STUV
